;;;;;;;;;;;;;;;;
;Resumo Diário;;;;;;;;;;;;;;;
;05 DE JUNHO 2026 · INDICADORES DIÁRIOS DEFENZ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;"LIGAÇÕES
106
52 atendidas (49%)";;;;"APRESENTAÇÕES
0
0/dia";;;;"PROPOSTAS
0
0/dia";;;;"POCS ATIVAS
1
Wine Tecnologia";;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;"EMAILS              3
Leonardo: 3 · Gustavo/Marcos: 0";;;;"WHATSAPP            6/2
msgs. / conversas iniciadas";;;;"LINKEDIN            57
16 Page · 41 perfis";;;;"CLIENTES ATIVOS     43
Base instalada";;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Por Canal / Responsável;;;;;;;;Tração Diária;;;;;;;
;Indicador;Total;Atend./Conv.;Gustavo;Leonardo;Marcos/Suporte;Obs.;;;;;;;;;
;Telefonia;106;52 (49%);53;49;Suporte: 4;106 ligações realizadas;;;;;;;;;
;E-mail;3;—;0;3;Marcos: 0;Automático: 0;;;;;;;;;
;WhatsApp;6;2;—;—;—;mensagens / conversas;;;;;;;;;
;LinkedIn;57;—;—;—;—;16 Page · 41 perfis;;;;;;;;;
;Apresentações;0;—;0;0;0;Sem envios no dia;;;;;;;;;
;Propostas;0;—;0;0;0;Sem envios no dia;;;;;;;;;
;Reunião técnica;0;—;0;0;0;Sem registros no dia;;;;;;;;;
;TOTAL TRAÇÃO;172;—;—;—;—;Volume bruto dos canais;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Destaques Operacionais;;;;;;;;;;;;;;;
;Comercial;"Wine Tecnologia confirmou boleto 6x; boleto previsto para segunda-feira; contrato solicitado para assinatura.";;;;;;;;;;;;;;
;Marketing;Post LinkedIn com 2.434 impressões e 9 novos seguidores conquistados na página.;;;;;;;;;;;;;;
;Execução;"9 atividades concluídas; suporte Oryx Capital e Exact Solution tratados; vídeo e criativos ajustados.";;;;;;;;;;;;;;
;Ponto de atenção;Sales AI segue em andamento após tentativa de resolução do bug sem sucesso.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Uso interno — LGPD: dashboard executivo diário com informações comerciais e operacionais. Campos de licenças totais permanecem em atualização.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
